name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time
graph_4_0.5.gml;4;3;0.5;greedy_v1;0.125;0;True;-1;0.0
graph_4_0.5.gml;4;3;0.5;greedy_v1;0.25;1;True;(11, 68);0.0
graph_4_0.5.gml;4;3;0.5;greedy_v1;0.5;2;False;-1;0.0
graph_4_0.5.gml;4;3;0.5;greedy_v1;0.75;3;False;-1;0.0
graph_4_0.25.gml;4;1;0.25;greedy_v1;0.125;0;True;-1;0.0
graph_4_0.25.gml;4;1;0.25;greedy_v1;0.25;1;True;(99, 95);0.0
graph_4_0.25.gml;4;1;0.25;greedy_v1;0.5;2;True;(99, 95):(30, 2);0.0
graph_4_0.25.gml;4;1;0.25;greedy_v1;0.75;3;False;-1;0.0
graph_4_0.75.gml;4;4;0.75;greedy_v1;0.125;0;True;-1;0.0
graph_4_0.75.gml;4;4;0.75;greedy_v1;0.25;1;True;(30, 2);0.0
graph_4_0.75.gml;4;4;0.75;greedy_v1;0.5;2;False;-1;0.0
graph_4_0.75.gml;4;4;0.75;greedy_v1;0.75;3;False;-1;0.0
graph_4_0.125.gml;4;0;0.125;greedy_v1;0.125;0;True;-1;0.0
graph_4_0.125.gml;4;0;0.125;greedy_v1;0.25;1;True;(11, 68);0.0
graph_4_0.125.gml;4;0;0.125;greedy_v1;0.5;2;True;(11, 68):(100, 6);0.0
graph_4_0.125.gml;4;0;0.125;greedy_v1;0.75;3;True;(11, 68):(99, 95):(100, 6);0.0
graph_5_0.5.gml;5;5;0.5;greedy_v1;0.125;0;True;-1;0.0
graph_5_0.5.gml;5;5;0.5;greedy_v1;0.25;1;True;(100, 6);0.0
graph_5_0.5.gml;5;5;0.5;greedy_v1;0.5;2;False;-1;0.0
graph_5_0.5.gml;5;5;0.5;greedy_v1;0.75;3;False;-1;0.0
graph_5_0.25.gml;5;2;0.25;greedy_v1;0.125;0;True;-1;0.0
graph_5_0.25.gml;5;2;0.25;greedy_v1;0.25;1;True;(99, 95);0.0
graph_5_0.25.gml;5;2;0.25;greedy_v1;0.5;2;True;(99, 95):(30, 2);0.0
graph_5_0.25.gml;5;2;0.25;greedy_v1;0.75;3;True;(11, 68):(99, 95):(30, 2);0.0
graph_5_0.75.gml;5;7;0.75;greedy_v1;0.125;0;True;-1;0.0
graph_5_0.75.gml;5;7;0.75;greedy_v1;0.25;1;True;(100, 6);0.0
graph_5_0.75.gml;5;7;0.75;greedy_v1;0.5;2;False;-1;0.0
graph_5_0.75.gml;5;7;0.75;greedy_v1;0.75;3;False;-1;0.0
graph_5_0.125.gml;5;1;0.125;greedy_v1;0.125;0;True;-1;0.0
graph_5_0.125.gml;5;1;0.125;greedy_v1;0.25;1;True;(11, 68);0.0
graph_5_0.125.gml;5;1;0.125;greedy_v1;0.5;2;True;(11, 68):(99, 95);0.0
graph_5_0.125.gml;5;1;0.125;greedy_v1;0.75;3;True;(11, 68):(99, 95):(30, 2);0.0
graph_6_0.5.gml;6;7;0.5;greedy_v1;0.125;0;True;-1;0.0
graph_6_0.5.gml;6;7;0.5;greedy_v1;0.25;1;True;(63, 50);0.0
graph_6_0.5.gml;6;7;0.5;greedy_v1;0.5;3;True;(63, 50):(99, 95):(100, 6);0.0
graph_6_0.5.gml;6;7;0.5;greedy_v1;0.75;4;False;-1;0.0
graph_6_0.25.gml;6;3;0.25;greedy_v1;0.125;0;True;-1;0.0
graph_6_0.25.gml;6;3;0.25;greedy_v1;0.25;1;True;(63, 50);0.0
graph_6_0.25.gml;6;3;0.25;greedy_v1;0.5;3;True;(63, 50):(99, 95):(100, 6);0.0
graph_6_0.25.gml;6;3;0.25;greedy_v1;0.75;4;False;-1;0.0
graph_6_0.75.gml;6;11;0.75;greedy_v1;0.125;0;True;-1;0.0
graph_6_0.75.gml;6;11;0.75;greedy_v1;0.25;1;True;(100, 6);0.0
